pid,order,file_name,label,_date,object_type,source,thumbnail,full
gbby-45g075,75,gbby-45g075.jpg,GBBY 45G/075: William (Bill) Smith: Football Player - c1933-1934,1933-1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g075.jpg,/img/derivatives/simple/gbby-45g075/thumbnail.jpg,/img/derivatives/simple/gbby-45g075/fullwidth.jpg
gbby-45g076,76,gbby-45g076.jpg,GBBY 45G/076: William (Bill) Smith: Football Player - c1933-1934,1933-1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g076.jpg,/img/derivatives/simple/gbby-45g076/thumbnail.jpg,/img/derivatives/simple/gbby-45g076/fullwidth.jpg
gbby-45g077,77,gbby-45g077.jpg,GBBY 45G/077: William (Bill) Smith: Football Player - c1933-1934,1933-1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g077.jpg,/img/derivatives/simple/gbby-45g077/thumbnail.jpg,/img/derivatives/simple/gbby-45g077/fullwidth.jpg
gbby-45g078,78,gbby-45g078.jpg,GBBY 45G/078: Frederick Solari: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g078.jpg,/img/derivatives/simple/gbby-45g078/thumbnail.jpg,/img/derivatives/simple/gbby-45g078/fullwidth.jpg
gbby-45g079,79,gbby-45g079.jpg,GBBY 45G/079: Augustus (Gus) Stange: Football Player - c1922-1923,1922-1923,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g079.jpg,/img/derivatives/simple/gbby-45g079/thumbnail.jpg,/img/derivatives/simple/gbby-45g079/fullwidth.jpg
gbby-45g080,80,gbby-45g080.jpg,GBBY 45G/080: William (Bill) Steinkemper: Football Player - c1934-1936,1934-1936,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g080.jpg,/img/derivatives/simple/gbby-45g080/thumbnail.jpg,/img/derivatives/simple/gbby-45g080/fullwidth.jpg
gbby-45g081,81,gbby-45g081.jpg,GBBY 45G/081: William (Bill) Steinkemper: Football Player - c1934-1936,1934-1936,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g081.jpg,/img/derivatives/simple/gbby-45g081/thumbnail.jpg,/img/derivatives/simple/gbby-45g081/fullwidth.jpg
gbby-45g082,82,gbby-45g082.jpg,GBBY 45G/082: Joseph (Joe) Sullivan: Football Player - c1933-1934,1933-1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g082.jpg,/img/derivatives/simple/gbby-45g082/thumbnail.jpg,/img/derivatives/simple/gbby-45g082/fullwidth.jpg
gbby-45g083,83,gbby-45g083.jpg,GBBY 45G/083: Matthew Thernes: Football Player - c1934-1935,1934-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g083.jpg,/img/derivatives/simple/gbby-45g083/thumbnail.jpg,/img/derivatives/simple/gbby-45g083/fullwidth.jpg
gbby-45g084,84,gbby-45g084.jpg,GBBY 45G/084: Gerard Van Wagner: Football Player - c1934,1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g084.jpg,/img/derivatives/simple/gbby-45g084/thumbnail.jpg,/img/derivatives/simple/gbby-45g084/fullwidth.jpg
gbby-45g085,85,gbby-45g085.jpg,GBBY 45G/085: George Vergara: Football Player - c1922-1923,1922-1923,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g085.jpg,/img/derivatives/simple/gbby-45g085/thumbnail.jpg,/img/derivatives/simple/gbby-45g085/fullwidth.jpg
gbby-45g086,86,gbby-45g086.jpg,GBBY 45G/086: Adam Walsh: Football Player - 1923,1923,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g086.jpg,/img/derivatives/simple/gbby-45g086/thumbnail.jpg,/img/derivatives/simple/gbby-45g086/fullwidth.jpg
